Number,Title,URL,Date
1,KSU club sports teams build national success through leadership and competition,https://www.kennesaw.edu/news/stories/2026/club-sports-teams-build-national-success.php,"May 29, 2026"
2,Psychology student examines link between overnight shift work and cognitive decline,https://www.kennesaw.edu/news/stories/2026/psychology-student-examines-link-shift-work-cognitive-decline.php,"May 29, 2026"
3,Friendship fuels research success for KSU science students,https://www.kennesaw.edu/news/stories/2026/friendship-fuels-research-success-science-students.php,"May 28, 2026"
4,Student research uses machine learning to improve heart disease diagnosis,https://www.kennesaw.edu/news/stories/2026/student-research-uses-machine-learning-heart-disease-diagnosis.php,"May 28, 2026"
5,Reflecting on KSU Dance's 20-year journey,https://www.kennesaw.edu/news/stories/2026/reflecting-on-ksu-dance-20-year-journey.php,"May 27, 2026"
6,KSU researchers study the impact of celebrity fashion on public opinion,https://www.kennesaw.edu/news/stories/2026/researchers-study-impact-celebrity-fashion-public-opinion.php,"May 27, 2026"
7,"Study finds burnout among caregivers tied to intensity of care, limited resources",https://www.kennesaw.edu/news/stories/2026/study-finds-burnout-caregivers-intensity-of-care-resources.php,"May 26, 2026"
8,KSU modern dance graduate sets sights on becoming a choreographer,https://www.wabe.org/ksu-modern-dance-graduate-sets-sights-on-becoming-a-choreographer-professor/,"May 22, 2026"
9,"Non-traditional student, Navy veteran finds research home at Kennesaw State",https://www.kennesaw.edu/news/stories/2026/student-veteran-finds-research-home-at-ksu.php,"May 21, 2026"
10,Kennesaw State advancing its research impact as new member of Georgia Research Alliance,https://www.kennesaw.edu/news/stories/2026/ksu-advancing-research-impact-georgia-research-alliance.php,"May 20, 2026"
